Time_Key,Year,Month,Month_Number,Season,Decade,Year_Category,Period_Type
2010_Annual,2010,Annual,0,Annual,2010-2014,Early Period,Annual
2010_January,2010,January,1,DJF (Summer),2010-2014,Early Period,Monthly
2010_February,2010,February,2,DJF (Summer),2010-2014,Early Period,Monthly
2010_March,2010,March,3,MAM (Autumn),2010-2014,Early Period,Monthly
2010_April,2010,April,4,MAM (Autumn),2010-2014,Early Period,Monthly
2010_May,2010,May,5,MAM (Autumn),2010-2014,Early Period,Monthly
2010_June,2010,June,6,JJA (Winter),2010-2014,Early Period,Monthly
2010_July,2010,July,7,JJA (Winter),2010-2014,Early Period,Monthly
2010_August,2010,August,8,JJA (Winter),2010-2014,Early Period,Monthly
2010_September,2010,September,9,SON (Spring),2010-2014,Early Period,Monthly
2010_October,2010,October,10,SON (Spring),2010-2014,Early Period,Monthly
2010_November,2010,November,11,SON (Spring),2010-2014,Early Period,Monthly
2010_December,2010,December,12,DJF (Summer),2010-2014,Early Period,Monthly
2011_Annual,2011,Annual,0,Annual,2010-2014,Early Period,Annual
2011_January,2011,January,1,DJF (Summer),2010-2014,Early Period,Monthly
2011_February,2011,February,2,DJF (Summer),2010-2014,Early Period,Monthly
2011_March,2011,March,3,MAM (Autumn),2010-2014,Early Period,Monthly
2011_April,2011,April,4,MAM (Autumn),2010-2014,Early Period,Monthly
2011_May,2011,May,5,MAM (Autumn),2010-2014,Early Period,Monthly
2011_June,2011,June,6,JJA (Winter),2010-2014,Early Period,Monthly
2011_July,2011,July,7,JJA (Winter),2010-2014,Early Period,Monthly
2011_August,2011,August,8,JJA (Winter),2010-2014,Early Period,Monthly
2011_September,2011,September,9,SON (Spring),2010-2014,Early Period,Monthly
2011_October,2011,October,10,SON (Spring),2010-2014,Early Period,Monthly
2011_November,2011,November,11,SON (Spring),2010-2014,Early Period,Monthly
2011_December,2011,December,12,DJF (Summer),2010-2014,Early Period,Monthly
2012_Annual,2012,Annual,0,Annual,2010-2014,Early Period,Annual
2012_January,2012,January,1,DJF (Summer),2010-2014,Early Period,Monthly
2012_February,2012,February,2,DJF (Summer),2010-2014,Early Period,Monthly
2012_March,2012,March,3,MAM (Autumn),2010-2014,Early Period,Monthly
2012_April,2012,April,4,MAM (Autumn),2010-2014,Early Period,Monthly
2012_May,2012,May,5,MAM (Autumn),2010-2014,Early Period,Monthly
2012_June,2012,June,6,JJA (Winter),2010-2014,Early Period,Monthly
2012_July,2012,July,7,JJA (Winter),2010-2014,Early Period,Monthly
2012_August,2012,August,8,JJA (Winter),2010-2014,Early Period,Monthly
2012_September,2012,September,9,SON (Spring),2010-2014,Early Period,Monthly
2012_October,2012,October,10,SON (Spring),2010-2014,Early Period,Monthly
2012_November,2012,November,11,SON (Spring),2010-2014,Early Period,Monthly
2012_December,2012,December,12,DJF (Summer),2010-2014,Early Period,Monthly
2013_Annual,2013,Annual,0,Annual,2010-2014,Early Period,Annual
2013_January,2013,January,1,DJF (Summer),2010-2014,Early Period,Monthly
2013_February,2013,February,2,DJF (Summer),2010-2014,Early Period,Monthly
2013_March,2013,March,3,MAM (Autumn),2010-2014,Early Period,Monthly
2013_April,2013,April,4,MAM (Autumn),2010-2014,Early Period,Monthly
2013_May,2013,May,5,MAM (Autumn),2010-2014,Early Period,Monthly
2013_June,2013,June,6,JJA (Winter),2010-2014,Early Period,Monthly
2013_July,2013,July,7,JJA (Winter),2010-2014,Early Period,Monthly
2013_August,2013,August,8,JJA (Winter),2010-2014,Early Period,Monthly
2013_September,2013,September,9,SON (Spring),2010-2014,Early Period,Monthly
2013_October,2013,October,10,SON (Spring),2010-2014,Early Period,Monthly
2013_November,2013,November,11,SON (Spring),2010-2014,Early Period,Monthly
2013_December,2013,December,12,DJF (Summer),2010-2014,Early Period,Monthly
2014_Annual,2014,Annual,0,Annual,2010-2014,Middle Period,Annual
2014_January,2014,January,1,DJF (Summer),2010-2014,Middle Period,Monthly
2014_February,2014,February,2,DJF (Summer),2010-2014,Middle Period,Monthly
2014_March,2014,March,3,MAM (Autumn),2010-2014,Middle Period,Monthly
2014_April,2014,April,4,MAM (Autumn),2010-2014,Middle Period,Monthly
2014_May,2014,May,5,MAM (Autumn),2010-2014,Middle Period,Monthly
2014_June,2014,June,6,JJA (Winter),2010-2014,Middle Period,Monthly
2014_July,2014,July,7,JJA (Winter),2010-2014,Middle Period,Monthly
2014_August,2014,August,8,JJA (Winter),2010-2014,Middle Period,Monthly
2014_September,2014,September,9,SON (Spring),2010-2014,Middle Period,Monthly
2014_October,2014,October,10,SON (Spring),2010-2014,Middle Period,Monthly
2014_November,2014,November,11,SON (Spring),2010-2014,Middle Period,Monthly
2014_December,2014,December,12,DJF (Summer),2010-2014,Middle Period,Monthly
