Area,Record_Count,Mean_Change,Median_Change,Std_Deviation,Min_Change,Max_Change,Skewness,Range,Coefficient_of_Variation,Region,Climate_Risk_Score,Risk_Category,Cluster
Western Sahara,187,1.6377,1.627,0.7819,-0.519,3.624,-0.0547,4.143,0.4774378701837944,Other/Islands,0.7715149324681486,High,0
Tunisia,187,1.6365,1.644,1.0744,-2.57,4.653,-0.2807,7.222999999999999,0.656523067522151,North Africa,0.9957730192406715,Very High,2
Sudan (former),17,1.6309,1.375,0.6606,0.77,2.912,0.6656,2.142,0.40505242504138816,Other/Islands,0.6497281132574,High,0
Morocco,187,1.6094,1.59,1.0587,-2.484,4.414,-0.2871,6.898,0.6578227911022742,North Africa,0.9664488757968187,Very High,2
Algeria,187,1.5037,1.616,1.0716,-2.765,3.988,-0.6706,6.753,0.7126421493649,North Africa,0.9211703633603723,Very High,2
Mauritania,187,1.4676,1.498,0.8158,-1.308,3.574,-0.2948,4.882,0.555873535023167,West Africa,0.7383209058202801,High,0
Cabo Verde,146,1.4532,1.527,0.6323,-0.326,3.184,-0.3307,3.5100000000000002,0.43510872557115327,West Africa,0.6110147097456562,High,0
Lesotho,187,1.4442,1.357,0.6806,-1.129,3.966,0.076,5.095000000000001,0.471264367816092,Southern Africa,0.6824498160634427,High,0
"Ascension, Saint Helena and Tristan da Cunha",187,1.3918,1.353,0.4375,0.306,2.64,0.3893,2.334,0.31434114096853,Other/Islands,0.4660818427061662,Moderate,1
Djibouti,149,1.3885,1.361,0.7098,-0.258,4.227,0.4255,4.485,0.5111991357580122,East Africa,0.6485180180284826,High,0
Senegal,187,1.3574,1.317,0.604,-0.497,3.304,0.1726,3.8009999999999997,0.4449683217916605,West Africa,0.56915774566372,Moderate,0
Gambia,187,1.3006,1.22,0.5664,-0.31,3.396,0.4397,3.706,0.4354913117022913,West Africa,0.5266283750992065,Moderate,0
Somalia,186,1.2983,1.3575,0.6552,-0.364,3.376,-0.0564,3.7399999999999998,0.5046599399214358,East Africa,0.5619301234631786,Moderate,0
Burundi,20,1.2666,1.154,0.5305,0.48,2.262,0.4097,1.782,0.4188378335701879,East Africa,0.42966936389221627,Moderate,1
Rwanda,20,1.2543,1.163,0.4973,0.674,2.257,0.693,1.5830000000000002,0.39647612213983896,East Africa,0.4042334003574237,Moderate,1
Côte d'Ivoire,187,1.2302,1.24,0.3776,0.143,2.066,-0.2313,1.9229999999999998,0.3069419606568038,West Africa,0.35868955695441596,Low,1
Egypt,187,1.2133,1.275,1.0332,-1.733,4.203,-0.0538,5.936,0.8515618560949475,North Africa,0.752756351789364,High,4
Guinea-Bissau,187,1.1994,1.176,0.4841,0.003,2.708,0.384,2.705,0.40361847590461897,West Africa,0.4153123247081059,Moderate,1
Malawi,180,1.1921,1.198,0.6896,-1.029,3.758,-0.0605,4.787,0.5784749601543495,Southern Africa,0.5672006942911209,Moderate,0
Liberia,187,1.1898,1.223,0.3595,0.176,2.312,-0.0621,2.1359999999999997,0.3021516221213649,West Africa,0.34180376676875485,Low,1
Eritrea,177,1.1681,1.123,0.881,-1.001,3.644,0.3958,4.645,0.7542162486088521,East Africa,0.6275071034948412,High,4
Democratic Republic of the Congo,187,1.1614,1.252,0.4537,-0.075,2.183,-0.4136,2.258,0.39064921646288964,Central Africa,0.3711902254467355,Low,1
South Sudan,170,1.1577,1.212,0.6678,-0.97,2.931,-0.1185,3.901,0.5768333765224151,East Africa,0.5124492064567654,Moderate,0
Libya,187,1.1451,1.2,1.0838,-2.177,3.78,-0.165,5.957,0.9464675574185661,North Africa,0.7443052874634889,High,4
Nigeria,187,1.141,1.157,0.6114,-0.943,3.287,0.0632,4.2299999999999995,0.5358457493426819,West Africa,0.49468860000190157,Moderate,0
South Africa,187,1.1206,1.113,0.6456,-0.598,3.151,0.2443,3.7489999999999997,0.576119935748706,Southern Africa,0.48241264170376985,Moderate,0
Zambia,186,1.1142,1.093,0.7738,-1.079,3.685,0.0053,4.764,0.6944893196912583,Southern Africa,0.5663120076659538,Moderate,4
Togo,187,1.1139,1.175,0.3684,0.002,1.906,-0.4222,1.904,0.3307298680312416,West Africa,0.30461243508532965,Low,1
Benin,187,1.1098,1.14,0.4225,-0.467,2.217,-0.4073,2.684,0.38069922508560106,West Africa,0.3518896093324074,Low,1
Mali,187,1.1074,1.123,0.7318,-1.038,3.889,0.1275,4.927,0.6608271627234965,West Africa,0.552590140815878,Moderate,4
Sudan,170,1.1008,1.056,0.8282,-1.367,3.774,-0.1807,5.141,0.7523619186046512,North Africa,0.5954371149501265,Moderate,4
Guinea,187,1.0995,1.147,0.4491,-0.319,2.431,-0.3067,2.75,0.40845839017735336,West Africa,0.3603305938111548,Low,1
Ethiopia,187,1.0909,1.076,0.4288,0.0,3.014,0.284,3.014,0.39306994224951874,East Africa,0.35799256037756794,Low,1
Kenya,187,1.0893,1.098,0.4512,-0.813,2.915,-0.2597,3.7279999999999998,0.4142109611677224,East Africa,0.391476103680108,Low,1
Ghana,187,1.0845,1.109,0.3244,0.11,1.934,-0.1073,1.8239999999999998,0.299124020285846,West Africa,0.2718121040836593,Low,1
Niger,187,1.0657,1.072,0.9052,-2.478,3.568,-0.3235,6.046,0.8493947640048793,West Africa,0.6429275242670762,High,4
Botswana,187,1.0645,1.065,0.9642,-1.608,3.509,-0.0931,5.117,0.9057773602630342,Southern Africa,0.6327786137274245,High,4
United Republic of Tanzania,187,1.0635,1.049,0.3525,0.341,2.138,0.3271,1.797,0.33145275035260935,Other/Islands,0.27296887797425906,Low,1
Burkina Faso,187,1.0482,1.037,0.6307,-0.963,3.046,0.0354,4.0089999999999995,0.6016981492081664,West Africa,0.4547637336659789,Moderate,0
Sao Tome and Principe,183,1.0449,1.005,0.41,0.001,2.326,0.4424,2.325,0.39238204612881616,Other/Islands,0.3064479809077091,Low,1
Angola,187,1.0423,1.116,0.5988,-0.702,2.496,-0.5253,3.198,0.5744987047874892,Southern Africa,0.41087799389736224,Moderate,1
Congo,187,1.0387,1.045,0.387,0.138,1.939,-0.1029,1.8010000000000002,0.3725811110041398,Central Africa,0.276127099043902,Low,1
Uganda,187,1.0305,1.02,0.4697,-0.937,2.373,-0.4148,3.3100000000000005,0.4557981562348375,East Africa,0.3587991944715269,Low,1
Eswatini,184,1.0252,1.083,0.7721,-1.271,3.148,-0.1707,4.4190000000000005,0.7531213421771362,Southern Africa,0.5153201104594958,Moderate,4
Gabon,187,0.9979,0.957,0.4236,-0.121,2.292,0.3274,2.413,0.4244914320072151,Central Africa,0.2948282359034277,Low,1
Cameroon,187,0.9795,0.988,0.4978,-0.296,2.299,0.0129,2.5949999999999998,0.5082184788157224,Central Africa,0.32272073608716023,Low,1
Mozambique,187,0.967,1.014,0.5182,-0.647,2.529,-0.1279,3.176,0.5358841778697001,Southern Africa,0.34603337142817947,Low,1
Chad,187,0.9622,0.954,0.8674,-1.924,3.433,-0.182,5.356999999999999,0.9014757846601537,Central Africa,0.5592707198537786,Moderate,4
Comoros,187,0.9564,0.953,0.458,-0.013,2.123,0.0883,2.136,0.47887913007109995,East Africa,0.2808358879310953,Low,1
Mayotte,187,0.9529,0.958,0.432,-0.022,2.086,0.126,2.1079999999999997,0.4533529226571519,Other/Islands,0.26807393860542617,Low,1
Sierra Leone,187,0.9478,0.994,0.4524,-0.685,2.247,-0.3133,2.932,0.47731588942814945,West Africa,0.30317031894779295,Low,1
Réunion,136,0.9451,0.9415,0.4335,-0.004,2.217,0.307,2.221,0.45868162099248755,Other/Islands,0.2693357059078777,Low,1
Equatorial Guinea,187,0.9288,0.844,0.4356,-0.121,2.075,0.291,2.196,0.4689922480620155,Central Africa,0.26230343249557825,Low,1
Seychelles,187,0.9106,0.923,0.3498,-0.044,1.755,-0.0415,1.799,0.38414232374258733,East Africa,0.20654180928526225,Low,1
Madagascar,187,0.8994,0.914,0.4457,-0.191,2.286,0.1328,2.477,0.4955525906159662,East Africa,0.2636766558303848,Low,1
Zimbabwe,187,0.7605,0.745,0.7309,-1.026,2.973,0.3595,3.9989999999999997,0.961078238001315,Southern Africa,0.3708759225583276,Low,3
Central African Republic,187,0.7604,0.741,0.6157,-1.692,2.527,-0.1793,4.219,0.809705418200947,Central Africa,0.33312493458194414,Low,3
Namibia,187,0.7289,0.785,0.9636,-1.673,3.704,-0.0995,5.377000000000001,1.3219920428042256,Southern Africa,0.49814624237596883,Moderate,3
Mauritius,187,0.6795,0.655,0.3813,-0.251,1.568,0.1618,1.819,0.5611479028697571,East Africa,0.1207991378549842,Very Low,1
French Southern Territories,187,0.4693,0.453,0.6207,-2.075,1.99,-0.3375,4.065,1.322608139782655,Other/Islands,0.20506712092600168,Low,3
Ethiopia PDR,0,,,,,,,,,Other/Islands,,Very Low,0
