Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,12,Algeria,7271,Temperature change,7001,January,2012,2012,°c,-1.153,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7001,January,2015,2015,°c,-0.536,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7001,January,2017,2017,°c,-1.731,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7001,January,2019,2019,°c,-0.739,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2010,2010,°c,3.988,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2011,2011,°c,-0.721,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2012,2012,°c,-2.765,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2013,2013,°c,-0.908,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2015,2015,°c,-0.564,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2018,2018,°c,-0.423,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7002,February,2019,2019,°c,-1.042,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7003,March,2010,2010,°c,3.369,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7003,March,2013,2013,°c,2.865,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7003,March,2015,2015,°c,-0.326,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7004,April,2010,2010,°c,3.76,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7004,April,2014,2014,°c,2.81,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7004,April,2015,2015,°c,3.067,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7004,April,2016,2016,°c,3.575,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7004,April,2020,2020,°c,2.958,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7005,May,2015,2015,°c,3.09,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7005,May,2017,2017,°c,3.943,E,Estimated value
ET,Temperature change on land,12,Algeria,7271,Temperature change,7005,May,2020,2020,°c,2.913,E,Estimated value
